fips,votes,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,Unemployment_rate,POP_ESTIMATE,Amish,Buddhist,Catholic,Christian Generic,Eastern Orthodox,Hindu,Jewish,Mainline Christian,Mormon,Muslim,Non-Catholic Christian,Other,Other Christian,Other Misc,Pentecostal / Charismatic,Protestant Denomination,Zoroastrian,MedHHInc,PerCapitaInc,PovertyUnder18Pct,PovertyAllAgesPct,Deep_Pov_All,Deep_Pov_Children,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units,age_total_pop,0-4_rate,5-9_rate,10-14_rate,15-19_rate,20-24_rate,25-29_rate,30-34_rate,35-39_rate,40-44_rate,45-49_rate,50-54_rate,55-59_rate,60-64_rate,65-69_rate,70-74_rate,75-79_rate,80-84_rate,85+_rate,TOT_MALE_rate,TOT_FEMALE_rate,WHITE_MALE_rate,WHITE_FEMALE_rate,BLACK_MALE_rate,BLACK_FEMALE_rate,NATIVE_AMERICAN_MALE_rate,NATIVE_AMERICAN_FEMALE_rate,ASIAN_MALE_rate,ASIAN_FEMALE_rate,HAWAIIAN_PACIFIC_MALE_rate,HAWAIIAN_PACIFIC_FEMALE_rate,MULTI_MALE_rate,MULTI_FEMALE_rate,WHITE_rate,BLACK_rate,NATIVE_AMERICAN_rate,HAWAIIAN_PACIFIC_rate,MULTI_rate,voter_turnout_rate,Democrat
2013,212930,15.639,42.043,30.373,11.945,6.2,3346,0,0,190,42,0,0,0,0,0,0,42,2,0,193,0,0,0,63991,31025,13.5,14.8,4.52749924,6.188118812,3141,747,15009.86,8027.92,6981.94,0.4,0.1,973194.6817,0.056480105,0.058521159,0.058521159,0.065501167,0.06878918,0.066659796,0.064637466,0.060594185,0.061830185,0.067098031,0.073298621,0.071315894,0.061586572,0.051162129,0.035778654,0.025030872,0.018607655,0.02132193,0.495811477,0.504188523,0.400719897,0.415174502,0.040327087,0.042566478,0.004231327,0.004164357,0.027522803,0.030023669,0.000749908,0.000731028,0.011286846,0.011528489,0.840879155,0.085889665,0.008666465,0.001550964,0.023661191,63.63717872,0
2016,212930,12.521,40.308,31.471,15.699,5.8,5818,0,0,202,56,0,0,0,14,19,0,0,20,0,177,1,0,0,78151,35083,8.2,8,2.543290043,2.033898305,5561,1929,14116.44,9726.16,4390.28,1.3,0.4,973194.6817,0.056480105,0.058521159,0.058521159,0.065501167,0.06878918,0.066659796,0.064637466,0.060594185,0.061830185,0.067098031,0.073298621,0.071315894,0.061586572,0.051162129,0.035778654,0.025030872,0.018607655,0.02132193,0.495811477,0.504188523,0.400719897,0.415174502,0.040327087,0.042566478,0.004231327,0.004164357,0.027522803,0.030023669,0.000749908,0.000731028,0.011286846,0.011528489,0.840879155,0.085889665,0.008666465,0.001550964,0.023661191,36.59848745,0
2020,212930,6.715,23.955,35.032,34.298,6,298018,0,13,165,200,0,0,1,47,47,3,38,69,16,68,22,6,0,83959,37864,10.2,7.2,3.560924334,4.642150619,291826,113032,1961,256.32,1704.68,171.2,66.3,973194.6817,0.056480105,0.058521159,0.058521159,0.065501167,0.06878918,0.066659796,0.064637466,0.060594185,0.061830185,0.067098031,0.073298621,0.071315894,0.061586572,0.051162129,0.035778654,0.025030872,0.018607655,0.02132193,0.495811477,0.504188523,0.400719897,0.415174502,0.040327087,0.042566478,0.004231327,0.004164357,0.027522803,0.030023669,0.000749908,0.000731028,0.011286846,0.011528489,0.840879155,0.085889665,0.008666465,0.001550964,0.023661191,0.714487044,0
2050,212930,19.099,45.407,24.077,11.417,15,17951,0,0,549,167,0,0,0,2,10,0,0,11,0,306,11,1,0,46634,18231,33.8,25.5,9.11759627,10.9000161,17013,5919,45504.21,4934.2,40570,0.4,0.1,973194.6817,0.056480105,0.058521159,0.058521159,0.065501167,0.06878918,0.066659796,0.064637466,0.060594185,0.061830185,0.067098031,0.073298621,0.071315894,0.061586572,0.051162129,0.035778654,0.025030872,0.018607655,0.02132193,0.495811477,0.504188523,0.400719897,0.415174502,0.040327087,0.042566478,0.004231327,0.004164357,0.027522803,0.030023669,0.000749908,0.000731028,0.011286846,0.011528489,0.840879155,0.085889665,0.008666465,0.001550964,0.023661191,11.86173472,0
2060,212930,7.396,34.823,38.675,19.106,8.9,904,0,0,347,6,0,0,0,0,0,0,6,1,0,227,0,0,0,68026,41420,14.2,11.4,4.112554113,5.069124424,997,969,887.56,383.72,503.84,2,1.9,973194.6817,0.056480105,0.058521159,0.058521159,0.065501167,0.06878918,0.066659796,0.064637466,0.060594185,0.061830185,0.067098031,0.073298621,0.071315894,0.061586572,0.051162129,0.035778654,0.025030872,0.018607655,0.02132193,0.495811477,0.504188523,0.400719897,0.415174502,0.040327087,0.042566478,0.004231327,0.004164357,0.027522803,0.030023669,0.000749908,0.000731028,0.011286846,0.011528489,0.840879155,0.085889665,0.008666465,0.001550964,0.023661191,235.5420354,0
2068,212930,3.792,23.353,34.331,38.523,13.7,1931,0,0,122,169,0,0,0,0,44,0,52,47,0,101,18,0,0,72378,38337,8.5,6.3,5.808325266,4.178272981,1826,1771,12776.92,25.51,12751.41,0.1,0.1,973194.6817,0.056480105,0.058521159,0.058521159,0.065501167,0.06878918,0.066659796,0.064637466,0.060594185,0.061830185,0.067098031,0.073298621,0.071315894,0.061586572,0.051162129,0.035778654,0.025030872,0.018607655,0.02132193,0.495811477,0.504188523,0.400719897,0.415174502,0.040327087,0.042566478,0.004231327,0.004164357,0.027522803,0.030023669,0.000749908,0.000731028,0.011286846,0.011528489,0.840879155,0.085889665,0.008666465,0.001550964,0.023661191,110.2692905,0
2070,212930,13.208,36.863,32.365,17.564,10.6,4993,0,0,442,181,0,0,0,17,9,0,16,11,0,281,21,50,0,52250,23520,31.9,19.6,6.895854398,9.673286355,4847,2427,20915.21,2346.43,18568.78,0.3,0.1,973194.6817,0.056480105,0.058521159,0.058521159,0.065501167,0.06878918,0.066659796,0.064637466,0.060594185,0.061830185,0.067098031,0.073298621,0.071315894,0.061586572,0.051162129,0.035778654,0.025030872,0.018607655,0.02132193,0.495811477,0.504188523,0.400719897,0.415174502,0.040327087,0.042566478,0.004231327,0.004164357,0.027522803,0.030023669,0.000749908,0.000731028,0.011286846,0.011528489,0.840879155,0.085889665,0.008666465,0.001550964,0.023661191,42.64570399,0
2090,212930,5.608,22.193,38.827,33.373,6.4,99643,0,2,87,190,0,0,1,53,46,0,41,54,4,68,18,4,0,73427,34182,9.9,8.5,3.897904095,5.469956992,97581,41783,7443.69,105.48,7338.21,13.3,5.7,973194.6817,0.056480105,0.058521159,0.058521159,0.065501167,0.06878918,0.066659796,0.064637466,0.060594185,0.061830185,0.067098031,0.073298621,0.071315894,0.061586572,0.051162129,0.035778654,0.025030872,0.018607655,0.02132193,0.495811477,0.504188523,0.400719897,0.415174502,0.040327087,0.042566478,0.004231327,0.004164357,0.027522803,0.030023669,0.000749908,0.000731028,0.011286846,0.011528489,0.840879155,0.085889665,0.008666465,0.001550964,0.023661191,2.136928836,0
2100,212930,4.548,25.663,29.345,40.444,10,2516,0,41,147,196,0,0,0,59,32,0,32,79,0,85,24,0,0,53471,32673,16.8,10.3,2.307998408,2.422907489,2508,1631,2725.5,406.9,2318.6,1.1,0.7,973194.6817,0.056480105,0.058521159,0.058521159,0.065501167,0.06878918,0.066659796,0.064637466,0.060594185,0.061830185,0.067098031,0.073298621,0.071315894,0.061586572,0.051162129,0.035778654,0.025030872,0.018607655,0.02132193,0.495811477,0.504188523,0.400719897,0.415174502,0.040327087,0.042566478,0.004231327,0.004164357,0.027522803,0.030023669,0.000749908,0.000731028,0.011286846,0.011528489,0.840879155,0.085889665,0.008666465,0.001550964,0.023661191,84.63036566,0
2105,212930,9.436,33.882,32.426,24.256,15.1,2159,0,0,209,101,0,0,0,9,36,0,0,41,0,137,53,0,0,53884,31451,35.4,19.1,4.65337132,12.53196931,2150,1771,10914.15,3389.24,7524.91,0.3,0.2,973194.6817,0.056480105,0.058521159,0.058521159,0.065501167,0.06878918,0.066659796,0.064637466,0.060594185,0.061830185,0.067098031,0.073298621,0.071315894,0.061586572,0.051162129,0.035778654,0.025030872,0.018607655,0.02132193,0.495811477,0.504188523,0.400719897,0.415174502,0.040327087,0.042566478,0.004231327,0.004164357,0.027522803,0.030023669,0.000749908,0.000731028,0.011286846,0.011528489,0.840879155,0.085889665,0.008666465,0.001550964,0.023661191,98.62436313,0
